Cosmetic_ID,Brand,Name,Type
209,Inglot,42S,False
210,Inglot,43S,False
211,Inglot,44S,False
212,Inglot,46S,False
213,Inglot,48S,False
214,Inglot,49S,False
215,Inglot,50S,False
216,Inglot,51S,False
217,Inglot,52F,False
218,Inglot,53S,False
219,Inglot,54F,False
220,Inglot,55S,False
221,Inglot,56S,False
222,Inglot,57S,False
223,Inglot,58S,False
224,Inglot,59S,False
225,Inglot,60F,False
226,Inglot,61N,False
227,Inglot,62F,False
228,Inglot,63S,False
229,Inglot,64S,False
230,Inglot,65S,False
231,Inglot,66S,False
232,Inglot,67S,False
233,Inglot,68S,False
234,Inglot,69S,False
235,Inglot,70N,False
236,Inglot,71S,False
237,Inglot,72S,False
238,Inglot,73S,False
239,Inglot,74N,False
240,Inglot,75S,False
241,Inglot,76S,False
242,Inglot,Duo,Adhesive
243,Inglot,Duo,Adhesive
244,Inglot,Eyelash,Adhesive
245,Inglot,AMC,Face
246,Inglot,AMC,Multicolour
247,Inglot,AMC,Multicolour
248,Inglot,AMC,White
249,Inglot,AMC,Lip
250,Inglot,Sleeks,Lip
251,Inglot,Sleeks,VLC
252,Inglot,Full,Metal
253,Inglot,AMC,Lip
254,Inglot,Soft,Precision
255,Inglot,AMC,Lip
256,Inglot,Lipstick,"
Lipstick
"
257,Inglot,Lipstick,Cream
258,Inglot,Lipstick,Matte
259,Inglot,Lipstick,Pearl
260,Inglot,Slim,Gel
261,Inglot,Sleeks,CREAM
262,Inglot,Sleeks,PLATINUM
263,Inglot,Colour,Play
265,Inglot,Perfect,Length
266,Inglot,False,Lash
267,Inglot,Volume,&
268,Inglot,Hand,&
269,Inglot,O2M,Nail
270,Inglot,Ridge,Filler
271,Inglot,Nail,Art
272,Inglot,Nail,Enamel
273,Inglot,Dry,and
274,Inglot,Nail,Enamel
275,Inglot,Nail,Polish
276,Inglot,Diamond,Top
277,Inglot,Fast,Drying
278,Inglot,Top,Coat
279,Inglot,Cuticle,Oil
280,Inglot,Cuticle,Removing
281,Inglot,Gro,Max
282,Inglot,Nail,Whitener
283,Inglot,S-Bond,Treatment
284,Inglot,Silk,Wrap
285,Inglot,Techno,UV
286,Inglot,W-Bond,Treatment
287,Inglot,Loose,Powder
288,Inglot,Translucent,Loose
289,Inglot,Under,Makeup
290,Inglot,BM,Eyelash
291,Inglot,BP,Eyelash
292,Inglot,Professional,Eyelash
293,Inglot,Nail,File
294,Inglot,Nail,File
295,Inglot,Nail,File
296,Inglot,Ceramic,Foot
297,Inglot,Cuticle,Nipper
298,Inglot,Cuticle,Nipper
299,Inglot,Cuticle,Scissors
300,Inglot,Duraline,"
Tools
"
301,Inglot,Metal,Foot
302,Inglot,Mirror,"
Tools
"
303,Inglot,Nail,Buffer
304,Inglot,Nail,Scissors
305,Inglot,Professional,Makeup
306,Inglot,Puff,Applicator
307,Inglot,Sponge,Applicator
308,Inglot,Toe,Separator
309,Inglot,Triangle,Sponge
310,Inglot,White,Sanding
311,Inglot,Double,Blade
312,Inglot,Double,Blade
313,Inglot,Professional,Tweezer
314,Inglot,Professional,Tweezer
315,Inglot,Rainbow,Eyeshadow
316,Make,Up,For
317,Make,Up,For
318,Make,Up,For
319,Make,Up,For
320,Make,Up,For
321,Make,Up,For
322,Make,Up,For
323,Make,Up,For
324,Make,Up,For
325,Make,Up,For
326,Make,Up,For
327,Make,Up,For
328,Make,Up,For
329,Make,Up,For
330,Make,Up,For
331,Make,Up,For
332,Make,Up,For
333,Make,Up,For
334,Make,Up,For
335,Make,Up,For
336,Make,Up,For
337,Make,Up,For
338,Make,Up,For
339,Make,Up,For
340,Make,Up,For
341,Make,Up,For
342,Make,Up,For
343,Make,Up,For
344,Make,Up,For
345,Make,Up,For
346,Make,Up,For
347,Make,Up,For
348,Make,Up,For
349,Make,Up,For
350,Make,Up,For
351,Make,Up,For
352,Make,Up,For
353,Make,Up,For
354,Make,Up,For
355,Make,Up,For
356,Make,Up,For
357,Make,Up,For
358,Make,Up,For
359,Make,Up,For
360,Make,Up,For
361,Make,Up,For
362,Make,Up,For
363,Make,Up,For
364,Make,Up,For
365,Make,Up,For
366,Make,Up,For
367,Make,Up,For
368,Make,Up,For
369,Make,Up,For
370,Make,Up,For
371,Make,Up,For
372,Make,Up,For
373,Make,Up,For
374,Make,Up,For
375,Make,Up,For
376,Make,Up,For
377,Make,Up,For
378,Make,Up,For
379,Make,Up,For
380,Make,Up,For
381,Make,Up,For
382,Make,Up,For
383,Make,Up,For
384,Make,Up,For
385,Make,Up,For
386,Make,Up,For
387,Make,Up,For
388,Make,Up,For
389,Make,Up,For
390,Make,Up,For
391,Make,Up,For
392,Make,Up,For
393,Make,Up,For
394,Make,Up,For
395,Make,Up,For
396,Make,Up,For
397,Make,Up,For
398,Make,Up,For
399,Make,Up,For
400,Make,Up,For
401,Make,Up,For
402,Make,Up,For
403,Make,Up,For
404,Make,Up,For
405,Make,Up,For
406,Make,Up,For
407,Make,Up,For
408,Make,Up,For
409,Make,Up,For
410,Make,Up,For
411,Make,Up,For
412,Make,Up,For
413,Make,Up,For
414,Make,Up,For
415,Make,Up,For
416,Make,Up,For
417,Make,Up,For
418,Make,Up,For
419,Make,Up,For
420,Make,Up,For
421,Make,Up,For
422,Make,Up,For
423,Make,Up,For
424,Make,Up,For
425,Make,Up,For
426,Make,Up,For
427,Make,Up,For
428,Make,Up,For
429,Make,Up,For
430,Make,Up,For
431,Make,Up,For
432,Make,Up,For
433,Make,Up,For
434,Make,Up,For
435,Make,Up,For
436,Make,Up,For
437,Make,Up,For
438,Make,Up,For
439,Make,Up,For
440,Make,Up,For
441,Make,Up,For
442,Make,Up,For
443,Make,Up,For
444,Make,Up,For
445,Make,Up,For
446,Make,Up,For
447,Make,Up,For
448,Make,Up,For
449,Make,Up,For
450,Make,Up,For
451,Make,Up,For
452,Make,Up,For
453,Make,Up,For
454,Make,Up,For
455,Make,Up,For
456,Make,Up,For
457,Make,Up,For
458,Make,Up,For
459,Make,Up,For
460,Make,Up,For
461,Make,Up,For
462,Make,Up,For
463,Make,Up,For
464,Make,Up,For
465,Make,Up,For
466,Make,Up,For
467,Make,Up,For
468,Make,Up,For
469,Make,Up,For
470,Make,Up,For
471,Make,Up,For
472,Make,Up,For
473,Make,Up,For
474,Make,Up,For
475,Make,Up,For
476,Make,Up,For
477,Make,Up,For
478,Make,Up,For
479,Make,Up,For
480,Make,Up,For
481,Make,Up,For
482,Make,Up,For
483,Make,Up,For
484,Make,Up,For
485,Make,Up,For
486,Make,Up,For
487,Make,Up,For
488,Make,Up,For
489,Make,Up,For
490,Make,Up,For
491,Make,Up,For
492,Make,Up,For
493,Make,Up,For
494,Make,Up,For
495,Make,Up,For
496,Make,Up,For
497,Make,Up,For
498,Make,Up,For
499,Make,Up,For
500,Make,Up,For
501,Make,Up,For
502,Make,Up,For
503,Make,Up,For
504,Make,Up,For
505,Make,Up,For
506,Make,Up,For
507,Make,Up,For
508,Make,Up,For
509,Make,Up,For
510,Make,Up,For
511,Make,Up,For
512,Make,Up,For
513,Make,Up,For
514,Make,Up,For
515,Make,Up,For
516,Make,Up,For
517,Make,Up,For
